,Year,Month,Export Quantity (kg),Export Price (LKR/kg),Exchange Rate (LKR/USD),Export Price (USD/kg),Global_Tea_Price ($),Log_Return
2015-12-01,2015,December,24226848.62,571.79,145.5364142857142,3.928844906660081,2.8090698932,0.005756396612016179
2016-01-01,2016,January,23180845.74,576.11,146.04658,3.944700382576572,2.55220335112,0.004027536965049302
2016-02-01,2016,February,22572195.94,578.12,146.1705210526316,3.95510665103148,2.35173727427,0.002634564219033034
2016-03-01,2016,March,25556295.62,574.47,147.32063,3.89945386467598,2.31288622651,-0.01417105835147396
2016-04-01,2016,April,21262043.22,583.18,146.8542277777778,3.971148865271196,2.53755451134,0.01821893092166419
2016-05-01,2016,May,20548284.55,599.81,147.76003,4.059352180694603,2.57487716258,0.02196795992407125
2016-06-01,2016,June,27304937.88,596.55,147.8977909090909,4.033528806165093,2.6481127369,-0.006381772378415263
2016-07-01,2016,July,24738053.71,587.36,147.9530894736842,3.969906962331269,2.77243287823,-0.01589896785523019
2016-08-01,2016,August,24198508.06,609.42,147.3711909090909,4.135272275677909,2.77523548898,0.04081051366124635
2016-09-01,2016,September,24391897.03,639.64,147.552385,4.33500278562085,2.79071283003,0.04716907991603349
2016-10-01,2016,October,22006623.62,668.7,148.8882142857142,4.491289006373432,2.88826862988,0.03541749155757441
2016-11-01,2016,November,19351961.38,708.68,150.1883142857143,4.718609456204601,3.03436186364,0.04937440507775633
2016-12-01,2016,December,21309732.59,703.57,151.1400736842105,4.655085728421882,2.98082060272,-0.01355382247945033
2017-01-01,2017,January,19238717.64,737.36,151.9241333333334,4.853475111700488,3.04413484829,0.04173463927279059
2017-02-01,2017,February,21504567.86,748.51,152.7915166666667,4.898897637314288,2.96014713218,0.00931524158051261
2017-03-01,2017,March,24304644.0,764.3,153.6585695652174,4.974014805439195,2.87438580894,0.01521711411285115
2017-04-01,2017,April,19036407.31,802.26,154.1013941176471,5.206052836793436,3.03415611891,0.04559463378929208
2017-05-01,2017,May,22950205.8,811.74,154.3895,5.257740973317486,3.19804977706,0.009879506014395321
2017-06-01,2017,June,24778399.48,804.1,154.77949,5.195132765975646,3.23760429812,-0.01197928102988004
2017-07-01,2017,July,25185722.33,803.42,155.4148523809524,5.169518792390957,3.22588379086,-0.00494257343513036
2017-08-01,2017,August,23483621.18,788.55,154.9610090909091,5.088699438820708,3.26449979065,-0.015757322369845
2017-09-01,2017,September,24184257.18,798.42,154.6798263157895,5.161759093069905,3.28176302309,0.01425514599510208
2017-10-01,2017,October,24236508.4,801.23,155.317945,5.158644096147424,3.29433559267,-0.0006036580083087685
2017-11-01,2017,November,22140427.41,806.12,155.4108761904762,5.187024356081716,3.23464256332,0.00548641806071899
2017-12-01,2017,December,22629475.51,796.05,154.9454700000001,5.137613897327877,3.13214816613,-0.009571441586322425
2018-01-01,2018,January,20119373.97,802.85,155.56666,5.160810163308771,3.10220474156,0.004504826189329125
2018-02-01,2018,February,20415021.22,819.69,156.5810333333333,5.234925217634918,2.99959870594,0.01425898358383695
2018-03-01,2018,March,24623781.53,805.87,157.46547,5.117756927915688,2.83550247639,-0.02263631610485381
2018-04-01,2018,April,19649229.88,804.42,157.9112,5.094128852165015,2.94784364498,-0.004627571914656287
2018-05-01,2018,May,21769059.97,807.23,159.2336285714286,5.06946935293819,3.02045236587,-0.004852523115777575
2018-06-01,2018,June,23469594.03,809.82,160.4236421052632,5.048009067570169,2.86780302043,-0.004242226503523449
2018-07-01,2018,July,23615812.94,766.33,160.7019190476191,4.76864249376463,2.88854244743,-0.05693224961319741
2018-08-01,2018,August,22636907.92,756.04,161.7084272727273,4.675328384246236,2.77410472823,-0.01976226900067592
2018-09-01,2018,September,24412669.33,756.96,166.1329315789473,4.556351307388375,2.67161271274,-0.02577725154787717
2018-10-01,2018,October,22000335.78,819.32,172.8999363636364,4.73869463015208,2.7366844304,0.03923955195088587
2018-11-01,2018,November,20158563.86,827.66,178.578452631579,4.634713694756478,2.70173890156,-0.02218727646539841
2018-12-01,2018,December,24057367.75,807.97,181.90498,4.441714569881485,2.62356609112,-0.04253396054130126
2019-01-01,2019,January,22184171.35,823.4,183.8291227272728,4.479159709757137,2.53712433504,0.008394997758488135
2019-02-01,2019,February,22171120.95,810.97,180.4709222222222,4.49363249222728,2.38197139039,0.003225928940603375
2019-03-01,2019,March,24829965.77,817.85,180.134052631579,4.540229834681599,2.38102230847,0.0103162421624234
2019-04-01,2019,April,19863877.89,808.07,176.6869600000001,4.573455788701101,2.64702430568,0.007291474075118536
